Ticker,Mes,Precio_Inicial,Precio_Final,Rendimiento,Inflacion_Mensual,Le_Gano_A_Inflacion,Rendimiento_Acumulado_2024,Inflacion_Acumulada_2024
PEP,2024-01-01,54571.041566666674,66656.4615,22.15,20.6,True,-8.96,119.83
PEP,2024-02-01,69620.70346666667,56544.4748,-18.78,13.2,False,-8.96,119.83
PEP,2024-03-01,57244.174,60632.725999999995,5.92,11.0,False,-8.96,119.83
PEP,2024-04-01,59927.02100000001,61294.793333333335,2.28,8.8,False,-8.96,119.83
PEP,2024-05-01,61029.085499999994,68824.31946666668,12.77,4.2,True,-8.96,119.83
PEP,2024-06-01,70893.7608,71612.74346666665,1.01,4.6,False,-8.96,119.83
PEP,2024-07-01,73983.59386666666,71351.44799999999,-3.56,3.9,False,-8.96,119.83
PEP,2024-08-01,73277.0448,72213.836,-1.45,3.6,False,-8.96,119.83
PEP,2024-09-01,74395.59000000001,68538.3656,-7.87,3.4,False,-8.96,119.83
PEP,2024-10-01,69221.7236,62320.3308,-9.97,3.3,False,-8.96,119.83
PEP,2024-11-01,63147.79086666667,58793.521799999995,-6.9,3.2,False,-8.96,119.83
PEP,2024-12-01,58093.3528,58855.902266666664,1.31,3.1,False,-8.96,119.83
PFE,2024-01-01,5391.6601,6247.2479,15.87,20.6,False,-7.64,119.83
PFE,2024-02-01,6453.3168000000005,5257.907380000001,-18.52,13.2,False,-7.64,119.83
PFE,2024-03-01,5351.654500000001,5563.1268,3.95,11.0,False,-7.64,119.83
PFE,2024-04-01,5558.784000000001,5167.1074,-7.05,8.8,False,-7.64,119.83
PFE,2024-05-01,5481.589000000001,6701.140240000001,22.25,4.2,True,-7.64,119.83
PFE,2024-06-01,7128.30018,7082.519679999999,-0.64,4.6,False,-7.64,119.83
PFE,2024-07-01,7470.8554,7459.78104,-0.15,3.9,False,-7.64,119.83
PFE,2024-08-01,7586.85024,7164.23596,-5.57,3.6,False,-7.64,119.83
PFE,2024-09-01,7009.602000000001,6843.05748,-2.38,3.4,False,-7.64,119.83
PFE,2024-10-01,6792.553,6229.7172,-8.29,3.3,False,-7.64,119.83
PFE,2024-11-01,6283.7916,5616.296400000001,-10.62,3.2,False,-7.64,119.83
PFE,2024-12-01,5479.50928,6053.343,10.47,3.1,True,-7.64,119.83
PLTR,2024-01-01,5507.9312666666665,6698.5351666666675,21.62,20.6,True,411.01,119.83
PLTR,2024-02-01,6969.752866666666,8959.6628,28.55,13.2,True,411.01,119.83
PLTR,2024-03-01,9057.4845,8327.319000000001,-8.06,11.0,False,411.01,119.83
PLTR,2024-04-01,8273.034,7996.713833333334,-3.34,8.8,False,411.01,119.83
PLTR,2024-05-01,8051.311333333334,9014.688533333334,11.97,4.2,True,411.01,119.83
PLTR,2024-06-01,9220.6868,11399.175466666666,23.63,4.6,True,411.01,119.83
PLTR,2024-07-01,12183.096266666666,11516.4492,-5.47,3.9,False,411.01,119.83
PLTR,2024-08-01,11320.8064,13628.846266666667,20.39,3.6,True,411.01,119.83
PLTR,2024-09-01,13250.493000000002,15422.376000000002,16.39,3.4,True,411.01,119.83
PLTR,2024-10-01,15147.185466666668,16041.3288,5.9,3.3,True,411.01,119.83
PLTR,2024-11-01,16442.98026666667,24818.2584,50.94,3.2,True,411.01,119.83
PLTR,2024-12-01,24330.164600000004,30535.752466666672,25.51,3.1,True,411.01,119.83
